Topic,Context
Thủ tục xin tạm ngưng/ bảo lưu để học lại?,"Sinh viên học chuyên ngành có thể làm thủ tục bảo lưu kỳ học đi để đăng ký học lại các học phần chưa đạt.
Thời hạn đăng ký: Theo thông báo của phòng Quản lý Đào tạo có trong kế hoạch học tập thông báo đến sinh viên vào đầu kỳ. Thông thường sinh viên có thể làm thủ tục này trước khi bắt đầu học kỳ mới 3 tuần và kết thúc muộn nhất trước khi bắt đầu học kỳ mới 1 tuần.
Lưu ý:
- Sau khi hoàn tất thủ tục tạm hoãn tiến độ 1 học kỳ để học lại, sinh viên bắt buộc phải đăng ký học lại ít nhất 1 môn; trong trường hợp các môn học lại không mở lớp hoặc đã full, sinh viên cần đăng ký vào danh sách chờ (wishlist) để được xếp lớp học trong lần mở lớp gần nhất.
- Sinh viên nợ môn không đủ điều kiện chuyển giai đoạn thì sẽ thuộc diện tạm ngưng bắt buộc để học lại và không cần phải làm thủ tục tạm ngưng để học lại."
Cách thức đăng ký học lại ?,"Sinh viên có thể đăng ký học lại những môn chưa đạt vào đầu mỗi học kỳ để học song song cùng các môn học đi hoặc đăng ký học vào Block 5 của mỗi học kỳ. Thời gian đăng ký cụ thể theo thông báo của phòng Đào tạo. Sinh viên đăng ký học lại sớm (ngay trong Block 5 của kỳ, hoặc ngay trong kỳ tiếp theo) sẽ được hỗ trợ học phí 50% so với biểu phí môn.

Cách thức đăng ký:

- Trước tiên sinh viên cần có đủ số dư tương đương với phí học lại trong tài khoản FAP

- Đăng nhập fap.fpt.edu.vn => Thủ tục/đơn từ => Đăng ký học lại
"
Thủ tục xin bảo lưu/tạm ngừng 1 học kỳ ?,"Bảo lưu/tạm ngừng hay tạm nghỉ 1 học kỳ là tình trạng sinh viên không tham gia học bất kỳ học phần nào trong học kỳ. Sinh viên chỉ được phép bảo lưu/tạm ngừng học kỳ sau khi đã tham gia học tối thiểu 1 học kỳ tại Trường. Thủ tục bảo lưu chỉ có hiệu lực trong 1 học kỳ, và sinh viên không được bảo lưu quá 2 học kỳ liên tiếp.

Thời hạn đăng ký: Theo thông báo của phòng Quản lý Đào tạo có trong kế hoạch học tập thông báo đến sinh viên vào đầu kỳ. Thông thường có thể làm thủ tục bảo lưu/tạm ngừng online trước khi học kỳ mới bắt đầu 3 tuần và kết thúc muộn nhất 1 tuần trước khi bắt đầu học kỳ mới.

Cách thức đăng ký: Đăng nhập fap.fpt.edu.vn => Thủ tục/Đơn từ => 2. Suspend one semester/Xin tạm nghỉ 1 học kỳ"
Cách thức xin bảo lưu học phần Tiếng Anh dự bị?,"Thời hạn làm thủ tục: Trước khi bắt đầu học phần Tiếng Anh 3 ngày hoặc theo thông báo riêng từ phòng Đào tạo Hiệu lực bảo lưu: Trong vòng 2 tháng, tương đương với thời gian học 1 level Tiếng Anh Cách thức đăng ký: Đăng nhập fap.fpt.edu.vn => Thủ tục/Đơn từ => Gửi đơn => Chọn: Các loại đơn khác: Trình bày nguyện vọng => Send.

Sau khi gửi đơn, sinh viên sẽ theo dõi tại mục ""Xem đơn"" để nhận phản hồi của bộ phận xử lý trong vòng 2 ngày làm việc."
Cách thức đăng ký học môn chậm kỳ?,"Môn chậm kỳ là những môn mà trước đó sinh viên đã được xếp lịch học tuy nhiên vì lý do nào đó mà đã bảo lưu hoặc chưa được học do vướng môn điều kiện. Sinh viên có thể đăng ký học môn chậm kỳ vào đầu mỗi học kỳ để học song song cùng các môn học đi đúng kỳ hoặc đăng ký học vào Block 5 của mỗi học kỳ mà không phải nộp thêm khoản phí nào, thời gian đăng ký cụ thể theo thông báo của phòng Đào tạo. Cách thức đăng ký: - Đăng nhập fap.fpt.edu.vn => Thủ tục/đơn từ => Đăng ký môn học đi chậm kỳ."
Thủ tục xin chuyển lớp?,"Sinh viên được quyền chuyển lớp online trong thời gian theo thông báo của phòng Đào tạo (có trong kế hoạch học tập kỳ). Thủ tục chuyển lớp chỉ có thể thực hiện được nếu như lớp dự định chuyển đến chưa full và không trùng lịch học với những môn học khác Cách thức như sau: Truy cập fap.fpt.edu.vn mục Thủ tục/đơn từ => Xin chuyển lớp
*Lưu ý: Không áp dụng chuyển lớp với những môn đăng ký học lại do sinh viên đã có quyền lựa chọn lớp học khi thao tác đăng ký."
"Sinh viên có thể học đi và học lại, học chậm kỳ song song ?","Mỗi sinh viên có thể đăng ký học đi và học lại, học chậm kỳ song song. Lịch học đi do Phòng Đào tạo sắp xếp, lịch học lại hoặc học chậm kỳ là do sinh viên tự chủ động đăng ký sao cho các lớp học không bị trùng lịch, đồng thời đảm bảo không đăng ký vượt quá 7 môn/kỳ.

Trong một số trường hợp, sinh viên có thể đăng ký học song song Tiếng Anh dự bị level 6 và chuyên ngành, khi đó sinh viên sẽ phải nộp cả học phí chuyên ngành và học phí Tiếng Anh."
Sinh viên được học tối đa bao nhiêu môn một học kỳ?,"Số lượng môn sinh viên được phép học là không quá 1,5 lần số môn trong kỳ, tương đương với không quá 7 môn (không bao gồm các môn học trong Block 5)."
Sinh viên không đủ điều kiện đi OJT có cần làm bảo lưu để học lại?,"Sinh viên không đạt đủ 90% tổng số tín chỉ của các học học phần chuyên ngành (không bao gồm GDQP, Giáo dục thể chất..) sẽ không đủ điều kiện đi OJT và được đưa vào diện tạm ngưng bắt buộc mà không cần làm thủ tục tạm hoãn tiến độ một học kỳ để học lại. Sinh viên sẽ không phải nộp học phí của kỳ tiếp theo mà sẽ phải nộp phí học lại và đăng ký học lại ít nhất 1 môn. Trường hợp sinh viên thuộc diện tạm ngưng bắt buộc nhưng không đăng ký học lại sẽ bị đưa vào danh sách thôi học."
"Sau khi đăng ký học lại, sinh viên có được phép hủy đăng ký không ?","Sau khi hoàn thành việc đăng ký học lại, sinh viên được phép hủy đăng ký trong thời gian quy định, tuy nhiên sẽ chỉ được hoàn lại 50% phí học lại.

Cách thức đăng ký hủy học lại: Đăng nhập fap.fpt.edu.vn => Thủ tục/Đơn từ => Cancel registration/Hủy đăng ký học"
Có được phép đổi môn tự chọn đã fail?,"Sinh viên được phép đổi môn học tự chọn đã fail trước đó bằng cách nộp phí học lại môn thay thế (phí học lại theo quy định tài chính), đồng thời làm đơn trên FAP. Cách thức như sau: Đăng nhập fap.fpt.edu.vn => Thủ tục/Đơn từ => Gửi đơn => Chọn: Các loại đơn khác: Trình bày nguyện vọng muốn đăng ký môn học tự chọn thay thế => Send. Sau khi gửi đơn, sinh viên sẽ theo dõi tại mục ""Xem đơn"" để nhận phản hồi của bộ phận xử lý trong vòng 2 ngày làm việc."
Sinh viên được miễn điểm danh khi nào?,"Sinh viên được miễn điểm danh khi đáp ứng được các điều kiện sau đây:

+ Sau giai đoạn OJT (Sau kỳ 6 chuyên ngành trở đi)

+ Có hợp đồng lao động full time với công ty có tư cách pháp nhân; thời hạn trên hợp đồng phải kéo dài toàn bộ học kỳ

+ Tùy theo từng trường hợp phòng Quản lý đào tạo sẽ yêu cầu thêm 1 số giấy tờ bổ sung khác Thời gian làm thủ tục xin miễn điểm danh theo thông báo của phòng Đào tạo

Cách thức như sau: Đăng nhập fap.fpt.edu.vn => Thủ tục/Đơn từ => Gửi đơn => Chọn: Đề nghị miễn điểm danh: Tải template => Giải nén => Chọn mẫu đơn 3 chấm => Điền thông tin vào đơn, đồng thời dán trực tiếp ảnh chụp hợp đồng lao động (tất cả các mặt) và giấy tờ khác (nếu có) => Đính kèm file => Send.

Sau khi gửi đơn, sinh viên sẽ theo dõi tại mục ""Xem đơn"" để nhận phản hồi của bộ phận xử lý trong vòng 2-4 ngày làm việc."
Quyền lợi và trách nhiệm của sinh viên khi được miễn điểm danh?,"Quyền lợi: Không bị áp yêu cầu tham gia tối thiểu 80% số buổi để xét điều kiện thi cuối kỳ

Trách nhiệm: Sinh viên cần trao đổi với giảng viên về những buổi học cần phải có mặt trên lớp để đảm bảo kiến thức và các đầu điểm thành phần."
Cách thức xử lý khi bị điểm danh sai?,"- Với các môn học LUK: làm đơn khiếu nại điểm danh trên FAP trong vòng 2 ngày kể từ ngày diễn ra buổi học, cách thức như sau: Đăng nhập fap.fpt.edu.vn => Thủ tục/Đơn từ => Gửi đơn => Chọn: Đơn đề nghị kiểm tra trạng thái điểm danh LUK: Trình bày chi tiết thông tin buổi học bị điểm danh nhầm và các minh chứng (nếu có) => Send. Sau khi gửi đơn, sinh viên sẽ theo dõi tại mục ""Xem đơn"" để nhận phản hồi của bộ phận xử lý trong vòng 2 ngày làm việc.

 - Với các môn học không báo gồm LUK: Báo ngay với giảng viên trước 24h trong ngày diễn ra buổi học. Trường hợp đã báo cáo đúng thời hạn nhưng vẫn không được thay đổi, sinh viên có thể làm đơn khiếu nại điểm danh để được Nhà trường hỗ trợ xử lý, cách thức như sau: Đăng nhập fap.fpt.edu.vn => Thủ tục/Đơn từ => Gửi đơn => Chọn: Đơn khiếu nại điểm danh: Trình bày nội dung cần khiếu nại => Send. Sau khi gửi đơn, sinh viên sẽ theo dõi tại mục ""Xem đơn"" để nhận phản hồi của bộ phận xử lý trong vòng 2 ngày làm việc."
"Sinh viên đã nghỉ hết 20% số buổi, sau đó gặp trường hợp bất khả kháng bị nghỉ quá 1 buổi có đủ điều kiện dự thi cuối kỳ không ?","- Không. Theo quy định, mỗi sinh viên có 20% số buổi là để sử dụng các trường hợp bất khả kháng không thể tham gia buổi học, do đó sinh viên nên để dành 20% này để dự phòng cho các trường hợp thực sự cần thiết."
Sinh viên muốn làm đơn đề nghị một vấn đề không có trong danh mục đơn từ thì phải làm thế nào?,"Cách thức như sau: Đăng nhập fap.fpt.edu.vn => Thủ tục/Đơn từ => Gửi đơn => Chọn: Các loại đơn khác => Trình bày nội dung vào đơn => Send.

Sau khi gửi đơn, sinh viên sẽ theo dõi tại mục ""Xem đơn"" để nhận phản hồi của bộ phận xử lý trong vòng 2 ngày làm việc."
Điều kiện để được đi OJT là gì?,Sinh viên hoàn thành tối thiểu 90% tổng số tín chỉ các môn học theo khung chương trình từ kỳ 1 đến kỳ 5 chuyên ngành.
Sinh viên có bắt buộc phải đi OJT tại đơn vị Nhà trường giới thiệu?,"Sinh viên không bắt buộc phải đi OJT theo đơn vị Nhà trường giới thiệu mà có thể tự liên hệ đơn vị OJT, tuy nhiên các đơn vị này cần phải được Nhà trường thẩm định đạt yêu cầu."
Điểm đánh giá OJT có tính vào điểm GPA ?,Điểm đánh giá OJT chỉ sử dụng để xét qua môn chứ không tính vào điểm GPA.
"Sinh viên đã học các môn học tương tự tại một trường khác, vậy các môn này có được công nhận tại Đại học FPT?","Ngoài một số môn học không được phép chuyển đổi (Khóa luận tốt nghiệp, Rèn luyện tập trung, Giáo dục thể chất), sinh viên có thể làm đơn để được Nhà trường xem xét chuyển đổi các môn học đã học tại các cơ sở đào tạo khác, tuy nhiên số tính chỉ được công nhận tối đa từ trường khác sang ĐH FPT là 50% so với tổng số tín chỉ cần đạt theo khung chương trình. Đồng thời sinh viên sẽ mất phí công nhận chuyển đổi là 20% biểu phí môn học. Sau khi có quyết định công nhận, sinh viên có thể làm đơn xin hoàn tiền những môn đã được công nhận về tài khoản học phí.

Cách thức làm đề nghị công nhận như sau: Đăng nhập fap.fpt.edu.vn => Thủ tục/Đơn từ => Gửi đơn => Chọn: Đề nghị chuyển đổi tín chỉ => Đính kèm syllabus (đề cương môn học) của môn xin công nhận do Trường - nơi sinh viên đã học - cung cấp => Send.

Sau khi gửi đơn, sinh viên sẽ theo dõi tại mục ""Xem đơn"" để nhận phản hồi của bộ phận xử lý trong vòng 2 tuần."
Những môn học nào không được tính vào điểm GPA?,"- GDQP, GDTC, OJT, các học phần Tiếng Anh chuẩn bị, các học phần được công nhận chuyển đổi."
"Sinh viên chuyển ngành, chuyển cơ sở có phải thay đổi mã số sinh viên?","Sinh viên chuyển ngành, chuyển cơ sở được giữ nguyên mã số sinh viên."
Thủ tục chuyển ngành ?," Chuyển ngành cùng khối ngành; chuyển chuyên ngành trong cùng ngành (trừ BIT_GD sang chuyên ngành khác trong BIT hoặc ngược lại); chuyển combo chuyên sâu: Sinh viên học lên kỳ bình thường, các môn chuyên ngành đã học thừa ở khung cũ mà khung mới không có, sinh viên cần đóng phí học thừa môn (áp dụng mức phí tại thời điểm chuyển).

- Chuyển ngành khác khối; chuyển chuyên ngành BIT_GD sang chuyên ngành khác trong BIT hoặc ngược lại: Sinh viên học từ kỳ 1 của khung mới. Các môn chuyên ngành đã học thừa ở khung cũ mà khung mới không có, sinh viên cần đóng phí học thừa môn (áp dụng mức phí tại thời điểm chuyển). Sinh viên được bảo lưu số kỳ học phí đã đóng ở ngành cũ. Sinh viên chuyển ngành khác khối không được duy trìi học bổng.

VD: Sinh viên học xong kỳ 3 ngành BIT_SE chuyển sang BBA_MC: Phải đóng phí thừa các môn chuyên ngành đã học ở BIT_SE mà ngành BBA_MC không có. Sinh viên được bảo lưu số kỳ học phí đã đóng ở ngành cũ, vì vậy đến kỳ 4 ngành BBA_MC sinh viên mới cần đóng tiếp học phí.

Lệ phí chuyển ngành: 2,300,000đ

Thời hạn làm thủ tục: Muộn nhất trước khi học kỳ mới bắt đầu 4 tuần

Cách thức như sau: Đăng nhập fap.fpt.edu.vn => Thủ tục/Đơn từ => Gửi đơn => Chọn: Đề nghị chuyển ngành => Send.

Sau khi gửi đơn, sinh viên sẽ theo dõi tại mục ""Xem đơn"" để nhận thông báo khoản phí thừa môn cần nộp và confirm về việc đồng ý chuyển ngành."
Thủ tục chuyển cơ sở?,"- Sinh viên có thể xin chuyển sang học tại các cơ sở/phân hiệu khác của Đại học FPT nếu cơ sở đó đồng ý tiếp nhận. Khi được duyệt đề nghị chuyển cơ sở, sinh viên sẽ nộp học phí theo mức phí áp dụng tại cơ sở chuyển đến. Sinh viên được giữ nguyên tín dụng/học bổng (nếu có) khi chuyển cơ sở

Thời hạn làm thủ tục: Muộn nhất trước khi học kỳ mới bắt đầu 4 tuần

Cách thức như sau: Đăng nhập fap.fpt.edu.vn => Thủ tục/Đơn từ => Gửi đơn => Chọn: Đề nghị chuyển cơ sở => Send

Sau khi gửi đơn, sinh viên sẽ theo dõi tại mục ""Xem đơn"" để nhận phản hồi của bộ phận xử lý trong vòng 1 tuần đến 10 ngày."
