Topic,Context
Sinh viên nghỉ học quá quá 20% thời lượng quy định của học phần,"Sinh viên nghỉ học quá quá 20% thời lượng quy định của học phần sẽ không được thi cuối học phần và phải học lại, trừ trường hợp đặc biệt mà Nhà trường quy định"
Xuất trình thẻ sinh viên,Sinh viên phải xuất trình thẻ sinh viên khi vào truòng
Sinh viên làm mất thẻ,Sinh viên làm mất thẻ sẽ phải làm thẻ tạm thời tại quầy dịch vụ sinh viên
Sinh viên không đeo thẻ,"Sinh viên không đeo thẻ sẽ không được vào lớp học hay sử dụng các dịch vụ tại khu hiệu bộ, giảng đường, thư viện"
Học thay hoặc nhờ người khác học thay,Học thay hoặc nhờ người khác học thay sẽ bị xử lí tuỳ theo mức độ từ khiển trách đến buộc thôi học
"Gian lận trong kỳ thi, kiểm tra, đánh giá trong giờ học, làm đồ án","Gian lận trong kỳ thi, kiểm tra, đánh giá trong giờ học, làm đồ án sẽ bị xử lí theo các hình thức kỷ luật quy định trong Nội quy kỳ thi Trường Đại học FPT"
Cố tình chậm nộp hoặc không nộp học phí mà không có lí do chính đáng,Cố tình chậm nộp hoặc không nộp học phí mà không có lí do chính đáng sẽ bị xử lí theo các hình thức kỷ luật quy định trong Quy định tài chính Trường Đại học FPT
"Làm hư hỏng, thiệt hại tài sản của nhà trường","Làm hư hỏng, thiệt hại tài sản của nhà trường sẽ xử lý từ khiển trách đến buộc thôi học và phải bồi thường 100% thiệt hại"
"Hút thuốc, vứt rác không đúng nơi quy định","Hút thuốc, vứt rác không đúng nơi quy định bị phạt 50000 vnđ/lần vi phạm"
"Mang đồ ăn nước uống vào lớp học, thư viện hoặc giảng đường","Mang đồ ăn nước uống vào lớp học, thư viện hoặc giảng đường bị phạt 50000 vnđ/lần vi phạm"
"Uống rượu bia trong lớp học, say rượu bia khi đến lớp","Uống rượu bia trong lớp học, say rượu bia khi đến lớp bị xử phạt theo số lần: lần 1 sẽ bị khiển trách; lần 2 cảnh cáo; lần 3 đình chỉ vô thời hạn; lần 4 buộc thôi học"
Xử phạt theo số lần,Bị xử phạt theo số lần: lần 1 sẽ bị khiển trách; lần 2 cảnh cáo; lần 3 đình chỉ vô thời hạn; lần 4 buộc thôi học
Đánh bạc dưới mọi hình thức,Đánh bạc dưới mọi hình thức sẽ bị xử phạt theo số lần: lần 1 sẽ bị khiển trách; lần 2 cảnh cáo; lần 3 đình chỉ vô thời hạn; lần 4 buộc thôi học
"Gian lận trong điểm danh; truy cập trái phép hệ thống hay sửa đổi thông tin và dữ liệu của nhà trường; tấn công, ngăn cản các hệ thống Công nghệ thông tin","Gian lận trong điểm danh; truy cập trái phép hệ thống hay sửa đổi thông tin và dữ liệu của nhà trường; tấn công, ngăn cản các hệ thống Công nghệ thông tin tại trường sẽ xử lý từ khiển trách đến buộc thôi học. Nếu nghiêm trọng đưa ra truy tố trước pháp luật"
"Tàng trữ, lưu hành, truy cập, sử dụng sản phẩm văn hoá phẩm đồi truỵ hoặc tham gia các hoạt động mê tín dị đoan, hoạt động tôn giáo trái phép","Tàng trữ, lưu hành, truy cập, sử dụng sản phẩm văn hoá phẩm đồi truỵ hoặc tham gia các hoạt động mê tín dị đoan, hoạt động tôn giáo trái phép sẽ bị xử phạt theo số lần: lần 1 sẽ bị khiển trách; lần 2 cảnh cáo; lần 3 đình chỉ vô thời hạn; lần 4 buộc thôi học"
"Buôn bán, vận chuyển, tàng trữ, lôi kéo người khác sử dụng ma tuý ","Buôn bán, vận chuyển, tàng trữ, lôi kéo người khác sử dụng ma tuý sẽ bị buộc thôi học và giao cho cơ quan chức năng xử lý theo quy định của pháp luật"
Sử dụng ma tuý,Sử dụng ma tuý sẽ bị xử lý theo quy định của sinh viên liên quan đến ma tuý
"Chứa chấp, môi giới mại dâm","Chứa chấp, môi giới mại dâm sẽ bị buộc thôi học và giao cho cơ quan chức năng xử lý theo quy định của pháp luật"
Hoạt động mại dâm,Hoạt động mại dâm sẽ bị xử phạt theo số lần: lần 1 sẽ bị khiển trách; lần 2 cảnh cáo; lần 3 đình chỉ vô thời hạn; lần 4 buộc thôi học
"Lấy cắp tài sản, chứa chấp, tiêu thụ tài sản do lấy cắp mà có","Lấy cắp tài sản, chứa chấp, tiêu thụ tài sản do lấy cắp mà có sẽ bị xử lí tuỳ theo mức độ từ khiển trách đến buộc thôi học. Nếu nghiêm trọng giao cho cơ quan chức năng xử lý theo quy định của pháp luật"
"Chứa chấp, buôn bán vũ khí, chất nổ và hàng cấm theo quy định của Nhà nước","Chứa chấp, buôn bán vũ khí, chất nổ và hàng cấm theo quy định của Nhà nước sẽ bị xử lí tuỳ theo mức độ từ khiển trách đến buộc thôi học. Nếu nghiêm trọng giao cho cơ quan chức năng xử lý theo quy định của pháp luật"
"Đưa thành phần xấu vào khuôn viên trường, KTX gây ảnh hưởng xấu đến an ninh, trật tự nhà trường","Đưa thành phần xấu vào khuôn viên trường, KTX gây ảnh hưởng xấu đến an ninh, trật tự nhà trường sẽ xử lí từ cảnh cáo đến buộc thôi học"
"Đánh nhau, tổ chức hoặc tham gia tổ chức đánh nhau","Đánh nhau, tổ chức hoặc tham gia tổ chức đánh nhau sẽ bị xử phạt theo số lần: lần 1 sẽ bị khiển trách; lần 2 cảnh cáo; lần 3 đình chỉ vô thời hạn; lần 4 buộc thôi học. Nếu nghiêm trọng giao cho cơ quan chức năng xử lý theo quy định của pháp luật"
"Kích động, lôi kéo người khác biểu tình, viết truyền đơn, áp phích trái với luật định","Kích động, lôi kéo người khác biểu tình, viết truyền đơn, áp phích trái với luật định lần 1 sẽ bị đình chỉ vô thời hạn, lần 2 sẽ bị buộc thôi học. Nếu nghiêm trọng giao cho cơ quan chức năng xử lý theo quy định của pháp luật"
"Tham gia biểu tình, tụ tập đông người, khiếu kiện trái quy định của pháp luật","Tham gia biểu tình, tụ tập đông người, khiếu kiện trái quy định của pháp luật sẽ bị xử phạt theo số lần: lần 1 sẽ bị khiển trách; lần 2 cảnh cáo; lần 3 đình chỉ vô thời hạn; lần 4 buộc thôi học. Nếu nghiêm trọng giao cho cơ quan chức năng xử lý theo quy định của pháp luật"
"Đăng tải, bình luận, chia sẻ bài viết có nội dung dung tục, bạo lực, đồi trụy, xâm phạm an ninh quốc gia, chống phá Đảng và Nhà nước, xuyên tạc, vu khống, xúc phạm uy tín của tổ chức, danh dự và nhân phẩm của cá nhân trên Internet","Đăng tải, bình luận, chia sẻ bài viết có nội dung dung tục, bạo lực, đồi trụy, xâm phạm an ninh quốc gia, chống phá Đảng và Nhà nước, xuyên tạc, vu khống, xúc phạm uy tín của tổ chức, danh dự và nhân phẩm của cá nhân trên Internet sẽ bị xử lí tuỳ theo mức độ từ khiển trách đến buộc thôi học. Nếu nghiêm trọng giao cho cơ quan chức năng xử lý theo quy định của pháp luật"
"Có hành động quấy rối, dâm ô, xâm hại nhân phẩm, đời tư của người khác","Có hành động quấy rối, dâm ô, xâm hại nhân phẩm, đời tư của người khác sẽ bị xử lí tuỳ theo mức độ từ khiển trách đến buộc thôi học. Nếu nghiêm trọng giao cho cơ quan chức năng xử lý theo quy định của pháp luật"
Các vi phạm khác,Các vi phạm khác sẽ bị xử lí tuỳ theo mức độ từ khiển trách đến buộc thôi học
Dùng thẻ sinh viên của người khác,Dùng thẻ sinh viên của người khác (xử lý cả 2 sinh viên): lần 1 sẽ bị tịch thu và hủy thẻ; lần 2 sẽ bị cảnh cáo; lần 3 sẽ bị đình chỉ học 1 học kỳ; lần 4 sẽ bị buộc thôi học
Làm giả thẻ sinh viên,Làm giả thẻ sinh viên (chính hoặc tạm thời) lần 1 sẽ bị đình chỉ học 1 học kỳ; lần 2 sẽ bị buộc thôi học
Điều kiện giai đoạn 2,"Mỗi sinh viên phải hoàn thành tối thiểu 90% tổng số tín chỉ của các học phần chuyên môn trong giai đoạn 2, hoàn thành Rèn luyện tập trung (RLTT) (không bao gồm Giáo dục thể chất (GDTC))"
Các giai đoạn đào tạo,"Giai đoạn 1 (4 tháng - 1 năm): Rèn luyện tập trung Tiếng Anh dự bị; Giai đoạn 2 (5 học kỳ): Chuyên môn cơ bản và cơ sở ngành; Giai đoạn 3 (14 tuần): Học tập tại Doanh nghiệp (OJT); Giai đoạn 4 (3 học kỳ): Chuyên ngành nâng cao, Chuyên ngành hẹp"
Số học kỳ trong 1 năm,Một năm có 3 học kỳ
Thời gian mỗi học kì,Một học kỳ kéo dài 15-16 tuần
Thời gian sinh viên cần hoàn thành chương trình đào tạo,Thời gian tối đa để sinh viên hoàn thành chương trình đào tạo không vượt quá 02 lần thời gian theo kế hoạch để hoàn thành chương trình đào tạo
Thời gian kế hoạch hoàn thành chương trình đào tạo,Thời gian kế hoạch hoàn thành chương trình đào tạo gồm Giai đoạn định hướng và rèn luyện tập trung và 9 học kỳ (không kể thời gian học tiếng Anh)
Thời gian đào tạo giai đoạn 1,"Thời gian đào tạo giai đoạn 1 là 4 tháng - 1 năm (tùy theo kết quả tiếng Anh đầu vào). Trong giai đoạn này, sinh viên sẽ học các học phần điều kiện: Rèn luyện tập trung, Vovinam, Nhạc cụ truyền thông, Tiếng Anh dự bị"
Thời gian Rèn luyện tập trung,Thời gian Rèn luyện tập trung là 1 tháng
Các level của Tiếng Anh dự bị,Tiếng Anh dự bị được chia ra làm 5 cấp độ: Level 1: Hurricane; Level 2: Greenfire; Level 3: Heatwave; Level 4: Thunderbolt hoặc TRS401; Level 5: TRS501; Level 6: TRS601
Lí do level 4 là Thunderbolt hoặc TRS401,Nếu học từ Level 1-2-3 thì sinh viên sẽ được học chương trình Thunderbolt. Nếu đã được phân loại vào Level 4 từ kết quả Tiếng Anh đầu vào thì sinh viên sẽ được học chương trình TRS401
Các loại Nhạc cụ truyền thống,Có 5 loại nhạc cụ truyền thống sinh viên có thể học: Đàn nguyệt; Đàn tranh; Đàn tì bà; Đàn bầu; Sáo
Các level môn võ Vovinam,Môn võ Vovinam được chia ra làm 3 cấp độ: Vovinam 1; Vovinam 2; Vovinam 3
Thời gian đào tạo giai đoạn 2,Thời gian đào tạo giai đoạn 2 là 5 học kỳ
Điều kiện để học ở giai đoạn 2,Điều kiện để học ở giai đoạn 2 là sinh viên đạt trình độ tiếng Anh theo quy định cụ thể của Trường
Timeline của 1 kỳ học,Timeline của 1 kỳ kéo dài từ 15-16 tuần bao gồm: Block 10 tuần từ tuần 1 đến tuần 10 để học các môn chuyên ngành; Thi Final & Thi Retake từ tuần 11 đến tuần 12; Block 3 tuần từ tuần 13 đến tuần 16 để Học lại và thi
Điều kiện để tham gia đào tạo trong môi trường doanh nghiệp (ON THE JOB TRAINING - OJT),Điều kiện để tham gia đào tạo trong môi trường doanh nghiệp (ON THE JOB TRAINING - OJT) là sinh viên phải đạt từ 90% tổng số tín chỉ từ Học kì 1 -> Học kì 5
Điều kiện giai đoạn 4,Điều kiện để được học giai đoạn 4 là sinh viên phải hoàn thành chương trình Đào tạo trong môi trường Doanh nghiệp (OJT)
Thời gian đào tạo giai đoạn 4,Thời gian đào tạo giai đoạn 4 gồm 3 học kỳ (từ học kỳ 7 đến học kỳ 9)
