,Topic,Context
0,Thủ tục xin tạm ngưng/ bảo lưu để học lại?,"Sinh viên học chuyên ngành có thể làm thủ tục bảo lưu kỳ học đi để đăng ký học lại các học phần chưa đạt. Thời hạn đăng ký: Theo thông báo của phòng Quản lý Đào tạo có trong kế hoạch học tập thông báo đến sinh viên vào đầu kỳ. Thông thường sinh viên có thể làm thủ tục này trước khi bắt đầu học kỳ mới 3 tuần và kết thúc muộn nhất trước khi bắt đầu học kỳ mới 1 tuần. Lưu ý: - Sau khi hoàn tất thủ tục tạm hoãn tiến độ 1 học kỳ để học lại, sinh viên bắt buộc phải đăng ký học lại ít nhất 1 môn; trong trường hợp các môn học lại không mở lớp hoặc đã full, sinh viên cần đăng ký vào danh sách chờ (wishlist) để được xếp lớp học trong lần mở lớp gần nhất. - Sinh viên nợ môn không đủ điều kiện chuyển giai đoạn thì sẽ thuộc diện tạm ngưng bắt buộc để học lại và không cần phải làm thủ tục tạm ngưng để học lại."
1,Cách thức đăng ký học lại ?,"Sinh viên có thể đăng ký học lại những môn chưa đạt vào đầu mỗi học kỳ để học song song cùng các môn học đi hoặc đăng ký học vào Block 5 của mỗi học kỳ. Thời gian đăng ký cụ thể theo thông báo của phòng Đào tạo. Sinh viên đăng ký học lại sớm (ngay trong Block 5 của kỳ, hoặc ngay trong kỳ tiếp theo) sẽ được hỗ trợ học phí 50% so với biểu phí môn.  Cách thức đăng ký:  - Trước tiên sinh viên cần có đủ số dư tương đương với phí học lại trong tài khoản FAP  - Đăng nhập fap.fpt.edu.vn => Thủ tục/đơn từ => Đăng ký học lại "
2,Thủ tục xin bảo lưu/tạm ngừng 1 học kỳ ?,"Bảo lưu/tạm ngừng hay tạm nghỉ 1 học kỳ là tình trạng sinh viên không tham gia học bất kỳ học phần nào trong học kỳ. Sinh viên chỉ được phép bảo lưu/tạm ngừng học kỳ sau khi đã tham gia học tối thiểu 1 học kỳ tại Trường. Thủ tục bảo lưu chỉ có hiệu lực trong 1 học kỳ, và sinh viên không được bảo lưu quá 2 học kỳ liên tiếp.  Thời hạn đăng ký: Theo thông báo của phòng Quản lý Đào tạo có trong kế hoạch học tập thông báo đến sinh viên vào đầu kỳ. Thông thường có thể làm thủ tục bảo lưu/tạm ngừng online trước khi học kỳ mới bắt đầu 3 tuần và kết thúc muộn nhất 1 tuần trước khi bắt đầu học kỳ mới.  Cách thức đăng ký: Đăng nhập fap.fpt.edu.vn => Thủ tục/Đơn từ => 2. Suspend one semester/Xin tạm nghỉ 1 học kỳ"
3,Cách thức xin bảo lưu học phần Tiếng Anh dự bị?,"Thời hạn làm thủ tục: Trước khi bắt đầu học phần Tiếng Anh 3 ngày hoặc theo thông báo riêng từ phòng Đào tạo Hiệu lực bảo lưu: Trong vòng 2 tháng, tương đương với thời gian học 1 level Tiếng Anh Cách thức đăng ký: Đăng nhập fap.fpt.edu.vn => Thủ tục/Đơn từ => Gửi đơn => Chọn: Các loại đơn khác: Trình bày nguyện vọng => Send.  Sau khi gửi đơn, sinh viên sẽ theo dõi tại mục ""Xem đơn"" để nhận phản hồi của bộ phận xử lý trong vòng 2 ngày làm việc."
4,Cách thức đăng ký học môn chậm kỳ?,"Môn chậm kỳ là những môn mà trước đó sinh viên đã được xếp lịch học tuy nhiên vì lý do nào đó mà đã bảo lưu hoặc chưa được học do vướng môn điều kiện. Sinh viên có thể đăng ký học môn chậm kỳ vào đầu mỗi học kỳ để học song song cùng các môn học đi đúng kỳ hoặc đăng ký học vào Block 5 của mỗi học kỳ mà không phải nộp thêm khoản phí nào, thời gian đăng ký cụ thể theo thông báo của phòng Đào tạo. Cách thức đăng ký: - Đăng nhập fap.fpt.edu.vn => Thủ tục/đơn từ => Đăng ký môn học đi chậm kỳ."
5,Thủ tục xin chuyển lớp?,Sinh viên được quyền chuyển lớp online trong thời gian theo thông báo của phòng Đào tạo (có trong kế hoạch học tập kỳ). Thủ tục chuyển lớp chỉ có thể thực hiện được nếu như lớp dự định chuyển đến chưa full và không trùng lịch học với những môn học khác Cách thức như sau: Truy cập fap.fpt.edu.vn mục Thủ tục/đơn từ => Xin chuyển lớp *Lưu ý: Không áp dụng chuyển lớp với những môn đăng ký học lại do sinh viên đã có quyền lựa chọn lớp học khi thao tác đăng ký.
6,"Sinh viên có thể học đi và học lại, học chậm kỳ song song ?","Mỗi sinh viên có thể đăng ký học đi và học lại, học chậm kỳ song song. Lịch học đi do Phòng Đào tạo sắp xếp, lịch học lại hoặc học chậm kỳ là do sinh viên tự chủ động đăng ký sao cho các lớp học không bị trùng lịch, đồng thời đảm bảo không đăng ký vượt quá 7 môn/kỳ.  Trong một số trường hợp, sinh viên có thể đăng ký học song song Tiếng Anh dự bị level 6 và chuyên ngành, khi đó sinh viên sẽ phải nộp cả học phí chuyên ngành và học phí Tiếng Anh."
7,Sinh viên được học tối đa bao nhiêu môn một học kỳ?,"Số lượng môn sinh viên được phép học là không quá 1,5 lần số môn trong kỳ, tương đương với không quá 7 môn (không bao gồm các môn học trong Block 5)."
8,Sinh viên không đủ điều kiện đi OJT có cần làm bảo lưu để học lại?,"Sinh viên không đạt đủ 90% tổng số tín chỉ của các học học phần chuyên ngành (không bao gồm GDQP, Giáo dục thể chất..) sẽ không đủ điều kiện đi OJT và được đưa vào diện tạm ngưng bắt buộc mà không cần làm thủ tục tạm hoãn tiến độ một học kỳ để học lại. Sinh viên sẽ không phải nộp học phí của kỳ tiếp theo mà sẽ phải nộp phí học lại và đăng ký học lại ít nhất 1 môn. Trường hợp sinh viên thuộc diện tạm ngưng bắt buộc nhưng không đăng ký học lại sẽ bị đưa vào danh sách thôi học."
9,"Sau khi đăng ký học lại, sinh viên có được phép hủy đăng ký không ?","Sau khi hoàn thành việc đăng ký học lại, sinh viên được phép hủy đăng ký trong thời gian quy định, tuy nhiên sẽ chỉ được hoàn lại 50% phí học lại.  Cách thức đăng ký hủy học lại: Đăng nhập fap.fpt.edu.vn => Thủ tục/Đơn từ => Cancel registration/Hủy đăng ký học"
